Split,Model,MAE_log10,R2_log10,MAE_linear
random,ExtraTrees,0.18486416136293848,0.7653338684446382,9.8625790495397
random,Ensemble(ET+RF),0.19127320507860204,0.7643463618457961,9.660064930938026
random,RandomForest,0.20440173527243624,0.7384722966346586,9.869811584007987
random,GradientBoosting,0.22678505275682997,0.7230243655799593,10.118352705752793
space_group,GradientBoosting,0.24857434971607306,0.688595406529572,10.921740759424107
space_group,Ensemble(ET+RF),0.25675703803557476,0.6862405068118429,10.863721129559238
space_group,RandomForest,0.2573903532667797,0.6760608196368445,11.010774636996134
space_group,ExtraTrees,0.26198981416988515,0.6853577445553318,10.912311417603728
ood,GradientBoosting,0.6877930367160756,-6.384800172311819,2.130160483061899
ood,RandomForest,0.7201775788247909,-6.895319184282064,1.9586271851640613
ood,Ensemble(ET+RF),0.7334896226973381,-7.220456656829919,2.1228810547863324
ood,ExtraTrees,0.7468049473497779,-7.658925575036047,2.6898863981337215
