Method,Novelty (%),Represented composition,Structural,Compositional,Recall,Precision,$\rho$,$E$,# Elements,S.U.N. (%),R.S.U.N. (%),~R.S.U.N. (%),Top-10 S.U.N. (%),Novel Template (%),Novel AFLOW on P1,Novel AFLOW on !P1,Novel AFLOW (%),Novel AFLOW relaxed (%),P1 (%),Space Group,S.S.U.N. (%)
WyFormer,90.0,0.2,99.55555555555556,80.44444444444444,98.66666666666667,96.71532846715328,0.7371396679895612,0.05315873754681419,0.09656622270673369,38.93893893893894,43.455497382198956,37.87128712871287,44.190871369294605,19.8,73.33333333333333,35.4639175257732,36.6,35.199999999999996,3.2366071428571432,0.22267741760283166,38.03803803803804
WyForDiffCSP++,89.5,0.19888268156424582,99.66480446927373,80.33519553072625,99.21787709497207,96.79274496792745,0.6652909743784234,0.05032758412844595,0.09818777940116036,36.6,38.21989528795812,36.21755253399258,39.314516129032256,20.0,76.92307692307693,36.06889564336373,36.6,35.4,1.4573991031390134,0.2119506828106208,35.9
WyLLM-naive-DiffCSP++,94.66800804828974,0.18172157279489903,99.7874601487779,82.89054197662061,98.72476089266738,94.96792744967928,0.38734739904627696,0.06682894606398983,0.015138441621033033,,,,,25.452716297786722,46.15384615384615,41.59021406727829,41.649899396378274,40.44265593561368,1.384451544195953,0.16664221829534887,
WyLLM-vanilla-DiffCSP++,95.59082892416225,0.7656826568265682,99.81549815498155,88.74538745387454,94.4649446494465,59.666003096660035,2.2265013379444767,0.23373800832791947,0.25277806056844615,,,,,26.807760141093475,100.0,36.330935251798564,37.56613756613756,36.507936507936506,2.033271719038817,0.6213339631100746,
WyLLM-site-symmetry-DiffCSP++,89.47895791583166,0.23180291153415453,99.88801791713325,83.87458006718926,99.44008958566629,96.31718646317186,0.2969081230869394,,0.03790755249790963,,,,,19.539078156312627,40.0,35.07157464212679,35.170340681362724,32.26452905811623,2.242152466367713,0.15808649074786746,
CrystalFormer,76.92307692307692,0.22105263157894736,86.8421052631579,82.36842105263158,99.86842105263159,95.1338199513382,0.5241710495816454,0.09955476659690615,0.16301703163017034,33.87096774193548,27.586206896551722,35.48795944233206,36.6,9.7165991902834,71.42857142857143,26.69404517453799,27.327935222672068,26.417004048583,0.9090909090909091,0.2761611517064445,33.770161290322584
DiffCSP++,89.68968968968969,0.14174107142857142,100.0,85.04464285714286,99.33035714285714,95.7973899579739,0.14783724827410663,0.03612210843958702,0.5036316139760482,41.4,44.73684210526316,40.801886792452834,46.56319290465632,1.001001001001001,78.26086956521739,29.303278688524593,30.430430430430434,28.82882882882883,2.5669642857142856,0.25524956101022167,40.8
DiffCSP,90.06024096385542,0.22073578595317725,100.0,80.93645484949833,99.55406911928651,96.20659146206592,0.8223778665208038,0.05240947126859048,0.2936360159463936,57.4,57.075471698113205,57.48730964467005,56.81818181818182,9.538152610441768,63.41463414634146,33.83233532934132,43.57429718875502,42.8714859437751,36.56633221850613,7.988511176970545,40.6
FlowMM,90.14084507042253,0.18303571428571427,96.20535714285714,82.47767857142857,99.66517857142857,96.36142446361424,0.31530660638168434,0.04447615071503733,0.11466828427893327,49.54864593781344,50.0,49.4478527607362,54.464285714285715,6.1368209255533195,49.88864142538976,30.275229357798167,39.13480885311871,37.12273641851107,49.303944315545245,14.007995296326849,29.889669007021062
WyCryst,52.61569416498994,0.26003824091778205,99.80879541108987,75.52581261950286,98.8527724665392,87.10462287104623,0.9623966633476462,0.11294447529595297,0.2857558723403174,36.61971830985915,45.64102564102564,34.4180225281602,31.31115459882583,17.20321931589537,68.0,26.625386996904027,27.66599597585513,26.76056338028169,4.789272030651341,0.7104723887654064,35.2112676056338
